l_R,d_R,k_d,CT,CT_ratio
0.3,0.3,4.722238456742566,0.0095629365595055,1.2522069043012591
0.3,0.31,4.722238456742566,0.0095036512087143,1.2444438573414973
0.3,0.32,4.722238456742566,0.0094475315530319,1.2370953384137355
0.3,0.33,4.722238456742566,0.009394372904859,1.2301345449533565
0.3,0.34,4.722238456742566,0.0093439602924575,1.2235333277519023
0.3,0.35,4.722238456742566,0.0092960972171462,1.217265956532512
0.3,0.36,4.722238456742566,0.0092506080954516,1.211309439734337
0.3,0.37,4.722238456742566,0.0092073146804082,1.2056404370288614
0.3,0.38,4.722238456742566,0.0091661098396749,1.2002449201041376
0.3,0.39,4.722238456742566,0.0091267921566934,1.1950965147179673
0.3,0.4000000000000001,4.722238456742566,0.0090892663955704,1.190182750324051
0.3,0.4100000000000001,4.722238456742566,0.0090534158780258,1.18548834862926
0.3,0.4200000000000001,4.722238456742566,0.0090191331737146,1.1809992422998938
0.3,0.4300000000000001,4.722238456742566,0.0089863192751173,1.1767024669187232
0.3,0.4400000000000001,4.722238456742566,0.0089548828439238,1.1725860623036612
0.3,0.4500000000000001,4.722238456742566,0.0089247395350877,1.1686389839968905
0.3,0.4600000000000001,4.722238456742566,0.0088958113819563,1.1648510227514697
0.3,0.4700000000000001,4.722238456742566,0.0088680262615398,1.1612127345116716
0.3,0.4800000000000001,4.722238456742566,0.0088413173442944,1.1577153683655106
0.3,0.4900000000000001,4.722238456742566,0.0088156227191048,1.1543508174385395
0.3,0.5000000000000002,4.722238456742566,0.0087908849633206,1.1511115625927983
0.3,0.5100000000000002,4.722238456742566,0.0087670507228902,1.1479906174479664
0.3,0.5200000000000002,4.722238456742566,0.0087440703929652,1.1449814865585013
0.3,0.5300000000000002,4.722238456742566,0.008721897827279,1.142078127358577
0.3,0.5400000000000003,4.722238456742566,0.0087004900500811,1.1392749124416792
0.3,0.5500000000000003,4.722238456742566,0.0086798069920512,1.1365665949802022
0.3,0.5600000000000003,4.722238456742566,0.0086597819120118,1.1339444356331763
0.3,0.5700000000000003,4.722238456742566,0.0086404388332873,1.1314115801051132
0.3,0.5800000000000003,4.722238456742566,0.0086217155174822,1.1289598786662642
0.3,0.5900000000000003,4.722238456742566,0.0086035810671127,1.1265852854838152
0.3,0.6000000000000003,4.722238456742566,0.0085860072365381,1.1242841019672665
0.3,0.6100000000000003,4.722238456742566,0.0085689673064974,1.1220528293960221
0.3,0.6200000000000003,4.722238456742566,0.008552406463304,1.1198842902596609
0.3,0.6300000000000003,4.722238456742566,0.008536360653106,1.1177831914821028
0.3,0.6400000000000003,4.722238456742566,0.0085207777923821,1.1157427130510462
0.3,0.6500000000000004,4.722238456742566,0.0085056370246547,1.1137601239408188
0.3,0.6600000000000004,4.722238456742566,0.0084909186849856,1.111832849150401
0.3,0.6700000000000004,4.722238456742566,0.0084766042915647,1.1099584686020205
0.3,0.6800000000000004,4.722238456742566,0.0084626463815517,1.1081307673327363
0.3,0.6900000000000004,4.722238456742566,0.008449088753546,1.1063554804959945
0.3,0.7000000000000004,4.722238456742566,0.0084358856322956,1.1046266141080183
